NM_BAIRRO,setores,iqu_medio,total_equipamentos
Jardim Veredas I e II,1,7.01,11
Residencial Pioneiro Honorato Vecchi,1,5.55,8
Jardim Atami,1,4.57,14
Jardim Pinheiros I,1,3.86,10
Jardim Três Lagoas Maurílio Correia Pinho,2,3.48,17
Jardim Oriental,2,3.42,14
Jardim Andrade,1,3.23,10
Jardim do Carmo e LT 40,1,3.16,8
Conjunto Habitacional SANENGE,1,3.09,7
Jardim Novo Oásis,4,3.01,19
Jardim Industrial,2,2.88,7
"J. S. Miguel 1ª e 2ª P e L 41 e 42, Ch Estilo e J. Aurora",1,2.83,5
Jardim Seminário,1,2.83,5
Jardim Lucianópolis,1,2.83,5
Jardim Munique,1,2.69,8
Jardim Monte Rei,2,2.68,11
Moradia Atenas 1ª e 2ª Parte,2,2.66,11
Parque das Palmeiras,4,2.64,21
Jardim Novo Horizonte I,2,2.62,7
Conjunto Residencial Planville,1,2.56,6
Jardim Campos Elíseos,2,2.52,14
Chác Mandacarú/ Jardim Imperador/Pilar e Ícaro,1,2.51,6
Jardim Tarumã (PQ E RES.),4,2.5,26
Jardim Aclimação,2,2.48,12
Jardim Imperial II,4,2.48,15
Conjunto Habitacional Paulino Carlos Filho,2,2.46,12
Residencial Pioneiro Odwaldo Bueno Netto,1,2.45,3
Jardim Mandacaru,1,2.41,5
Recanto dos Magnatas,3,2.34,15
Parque Residencial Quebec,3,2.31,7
Conjunto Residencial Ney Braga,5,2.25,21
Conjunto Residencial João de Barro Champagnat,2,2.22,17
Jardim São Silvestre,4,2.2,21
Parque Residencial Patrícia,2,2.2,8
Conjunto Residencial João de Barro Itaparica,2,2.16,12
Parque das Grevíleas,8,2.11,24
Conjunto Residencial Governador Parigot de Souza,2,2.09,5
Vila Esperança II,6,2.08,22
"Jardim Moreschi, Jardim Carolina e Alto da Boa Vista",2,2.07,7
Conjunto Residencial Rodolpho Bernardi,2,2.04,12
Conjunto Residencial Guaiapó,5,2.02,27
Vila Marumbi,2,1.98,13
Conjunto Habitacional Sol Nascente,3,1.98,35
Liberdade,6,1.94,20
Jardim São Clemente,2,1.93,9
Parque das Bandeiras,3,1.82,12
Conjunto Residencial Léa Leal,3,1.75,16
Conjunto Residencial Inocente Vila Nova Júnior,5,1.7,20
Conjunto Residencial Branca de Jesus Camargo Vieira,4,1.65,23
Parque Residencial Cidade Nova,6,1.62,18
Jardim Dias (Dias I E II),4,1.59,15
"Jardim Paris (Paris III, IV, V E VI)",9,1.58,28
Conjunto João de Barro Thais,3,1.57,12
Parque Itaipu,5,1.54,19
Jardim Higienópolis,2,1.5,7
Conjunto Habitacional SANENGE III,1,1.47,10
"Condomínios Portal das Torres, Cidade Campo e Ana Rosa",4,1.47,14
Recanto Kakogawa,1,1.42,8
Jardim Dourado,1,1.42,8
Conjunto Residencial Angelo Palmas,1,1.42,8
Conjunto João de Barro I,1,1.42,8
Parque Hortência I,2,1.4,15
Jardim Monte Carlo,3,1.39,6
Jardim Indaiá I e Indaiá II,1,1.38,7
Jardim América,6,1.36,23
Jardim Ipanema,2,1.34,5
Jardim Santa Helena,2,1.34,5
Vila Santa Isabel,4,1.32,13
"Condomínios Santa Marina, Bela Vista I e II",2,1.32,14
Jardim Los Angeles,1,1.32,6
Jardim Universo,4,1.27,9
Conjunto Residencial João de Barro Cidade Canção,1,1.2,5
Conjunto Residencial João de Barro Porto Seguro I,1,1.2,5
Jardim Maravilha,1,1.2,5
Jardim Espanha,2,1.19,10
Jardim Vitória,3,1.19,8
Loteamento Sumaré,7,1.18,13
Conjunto Residencial Hermann Moraes de Barros,4,1.16,10
Jardim Novo Alvorada,2,1.14,10
Jardim Diamante,5,1.11,10
Conjunto Habitacional Itatiaia,2,1.1,9
Conjunto Habitacional Requião I,7,1.1,24
Jardim Brasil,2,1.08,3
Parque Residencial Aeroporto,3,1.07,17
Jardim Araucária,1,1.06,4
Conjunto Residencial Karina,1,1.06,4
Jardim Guairaçá,2,1.06,4
Conjunto Habitacional Cidade Alta,3,1.05,12
Jardim Imperial I,2,0.98,7
"Jardim Itália I e II, São Conrado e Botânico",5,0.96,14
Jardins Colina Verde (I e II),4,0.92,13
Jardim das Laranjeiras,6,0.9,21
Núcleo Habitacional Santa Felicidade-PROFILURB,1,0.89,3
Conjunto Residencial João de Barro - Cidade Alta I,1,0.89,3
Jardim Novo Horizonte II,3,0.88,9
Parque Hortência II,3,0.85,9
Jardim Oásis,4,0.82,11
Jardim Tóquio,3,0.72,3
Conjunto Residencial João de Barro - Cidade Alta II,1,0.68,2
Parque Residencial Tuiuti,6,0.68,14
Jardim Pinheiros II,1,0.68,2
"Jardim Paulista (I, II, III e IV)",12,0.66,19
Ebenezer,2,0.66,4
Jardim Tabaetê,2,0.55,3
Jardim Império do Sol,2,0.55,3
Jardim Santa Clara,1,0.42,1
Jardim Novo Paulista,1,0.42,1
Conjunto Residencial João de Barro Porto Seguro II,1,0.42,1
Cidade Monções e Subdivisões do L. 245A (Jardim Bela Vista),5,0.39,5
Jardim D' Monet,1,0.0,0
Jardim Monte Sião e Sinai,1,0.0,0
Jardim Licce,1,0.0,0
Vila Esperança I,2,0.0,0
