NM_SUBDIST,setores,iqu_mediano,total_equipamentos,saude,educacao,mobilidade,qualidade_vida,servicos_essenciais,seguranca
Zona 1,29,1.36,76,5,4,27,15,25,0
Zona 10,1,6.92,10,1,1,7,0,1,0
Zona 11,6,1.22,15,0,2,9,1,3,0
Zona 12,1,0.89,3,0,0,3,0,0,0
Zona 13,1,1.2,5,0,0,5,0,0,0
Zona 14,5,2.19,22,0,2,10,1,4,5
Zona 15,3,1.41,5,0,0,3,1,0,1
Zona 17,12,0.78,31,0,4,24,1,2,0
Zona 18,2,1.38,6,0,0,4,0,2,0
Zona 19,23,1.44,130,1,8,109,12,0,0
Zona 2,10,2.74,50,0,6,24,12,8,0
Zona 20,29,0.89,87,7,2,70,5,3,0
Zona 21,21,1.48,83,2,4,69,3,5,0
Zona 22,5,1.2,23,0,2,20,1,0,0
Zona 23,19,0.89,49,0,2,37,4,6,0
Zona 24,36,1.04,120,5,5,82,16,10,2
Zona 25,23,1.2,97,2,6,87,1,1,0
Zona 26,1,4.47,9,0,1,7,1,0,0
Zona 27,27,0.42,53,1,1,41,6,4,0
Zona 28,10,2.15,54,2,2,42,2,5,1
Zona 29,20,1.2,69,1,4,55,4,5,0
Zona 3,15,1.99,50,2,3,34,7,4,0
Zona 30,19,0.89,65,1,7,50,5,2,0
Zona 31,27,1.31,79,1,7,56,11,4,0
Zona 33,11,2.66,59,2,6,40,5,3,3
Zona 34,7,1.5,63,1,2,48,7,5,0
Zona 35,2,2.17,8,1,0,7,0,0,0
Zona 36,50,1.06,166,2,11,140,7,6,0
Zona 37,62,1.06,251,3,17,221,5,5,0
Zona 38,15,1.06,95,1,2,82,10,0,0
Zona 39,20,1.26,106,1,6,95,4,0,0
Zona 4,10,3.07,64,2,4,40,9,9,0
Zona 40,4,4.45,40,12,2,22,3,1,0
Zona 41,3,1.45,21,0,0,20,1,0,0
Zona 42,4,0.55,21,0,1,19,1,0,0
Zona 43,20,1.4,121,1,7,105,4,4,0
Zona 44,15,1.32,62,2,4,49,4,3,0
Zona 45,3,0.42,25,0,0,25,0,0,0
Zona 46,28,0.68,85,1,6,77,1,0,0
Zona 47,14,1.2,79,1,4,68,3,1,2
Zona 48,29,1.2,104,1,2,93,5,3,0
Zona 5,10,4.12,73,9,5,41,10,8,0
Zona 6,8,3.04,44,2,4,27,6,4,1
Zona 7,60,0.42,117,2,12,70,16,16,1
Zona 8,18,1.1,74,1,7,44,16,5,1
Zona 9,6,2.49,30,1,4,17,1,7,0
Zona Central,1,3.5,7,0,0,5,1,0,1
