NM_SUBDIST,setores,iqu_mediano,iqu_media,total_equipamentos,area_km2,saude,educacao,mobilidade,qualidade_vida,servicos_essenciais,seguranca,equip_por_km2,iqu_ponderado
Zona 1,29,1.36,1.677241379310345,76,1.3337473509568467,5,4,27,15,25,0,56.98,2.96
Zona 10,1,6.92,6.92,10,0.80335830542126,1,1,7,0,1,0,12.45,6.92
Zona 11,6,1.2249999999999999,1.96,15,0.5448624283403978,0,2,9,1,3,0,27.53,2.83
Zona 12,1,0.89,0.89,3,0.08509852285572862,0,0,3,0,0,0,35.25,0.89
Zona 13,1,1.2,1.2,5,0.08605856583876838,0,0,5,0,0,0,58.1,1.2
Zona 14,5,2.19,2.378,22,0.7482270774482438,0,2,10,1,4,5,29.4,2.37
Zona 15,3,1.41,1.1333333333333333,5,0.2830943592877129,0,0,3,1,0,1,17.66,1.41
Zona 17,12,0.785,1.26,31,1.2235829292759224,0,4,24,1,2,0,25.34,1.42
Zona 18,2,1.38,1.38,6,0.6457925717924793,0,0,4,0,2,0,9.29,1.94
Zona 19,23,1.44,1.931304347826087,130,6.207632351138438,1,8,109,12,0,0,20.94,2.01
Zona 2,10,2.745,2.8489999999999998,50,2.1697376242911384,0,6,24,12,8,0,23.04,3.45
Zona 20,29,0.89,1.1920689655172414,87,4.617302704505284,7,2,70,5,3,0,18.84,1.42
Zona 21,21,1.48,1.789047619047619,83,1.8681642182796645,2,4,69,3,5,0,44.43,2.0
Zona 22,5,1.2,1.686,23,3.9650686606135106,0,2,20,1,0,0,5.8,0.78
Zona 23,19,0.89,1.3294736842105264,49,1.851763156555082,0,2,37,4,6,0,26.46,1.68
Zona 24,36,1.045,1.7197222222222222,120,3.4456719461265983,5,5,82,16,10,2,34.83,1.97
Zona 25,23,1.2,1.6604347826086956,97,4.523579492446512,2,6,87,1,1,0,21.44,1.28
Zona 26,1,4.47,4.47,9,0.23454441844254878,0,1,7,1,0,0,38.37,4.47
Zona 27,27,0.42,0.9222222222222222,53,1.7551580432559208,1,1,41,6,4,0,30.2,1.25
Zona 28,10,2.15,2.413,54,1.5443921246690684,2,2,42,2,5,1,34.97,2.34
Zona 29,20,1.2,1.8015,69,2.5991408534627105,1,4,55,4,5,0,26.55,1.96
Zona 3,15,1.99,2.03,50,1.2612268192031748,2,3,34,7,4,0,39.64,2.86
Zona 30,19,0.89,1.7973684210526315,65,1.7993997476979482,1,7,50,5,2,0,36.12,2.03
Zona 31,27,1.31,1.6451851851851853,79,4.105208591392797,1,7,56,11,4,0,19.24,1.69
Zona 33,11,2.66,2.4127272727272726,59,2.989822741453216,2,6,40,5,3,3,19.73,2.6
Zona 34,7,1.5,2.6900000000000004,63,84.87100315579184,1,2,48,7,5,0,0.74,1.52
Zona 35,2,2.175,2.175,8,0.18715508777475337,1,0,7,0,0,0,42.75,2.21
Zona 36,50,1.06,1.3632,166,6.347802052501504,2,11,140,7,6,0,26.15,1.94
Zona 37,62,1.06,1.5190322580645161,251,8.231896070764309,3,17,221,5,5,0,30.49,1.56
Zona 38,15,1.06,1.598,95,4.440033930124068,1,2,82,10,0,0,21.4,3.53
Zona 39,20,1.26,1.7835,106,3.103487804163521,1,6,95,4,0,0,34.16,1.97
Zona 4,10,3.0700000000000003,3.376,64,1.979964102141296,2,4,40,9,9,0,32.32,3.76
Zona 40,4,4.449999999999999,5.2275,40,2.4195788781116128,12,2,22,3,1,0,16.53,4.87
Zona 41,3,1.45,1.7599999999999998,21,2.4373626104569475,0,0,20,1,0,0,8.62,1.52
Zona 42,4,0.55,1.4175,21,10.495580902389884,0,1,19,1,0,0,2.0,1.66
Zona 43,20,1.4,2.0755,121,4.367784717812512,1,7,105,4,4,0,27.7,3.46
Zona 44,15,1.32,1.976,62,3.772317427372868,2,4,49,4,3,0,16.44,2.3
Zona 45,3,0.42,0.64,25,7.783996484546988,0,0,25,0,0,0,3.21,0.65
Zona 46,28,0.68,1.188214285714286,85,3.4025364386791535,1,6,77,1,0,0,24.98,1.28
Zona 47,14,1.2,1.9635714285714287,79,11.241174040269426,1,4,68,3,1,2,7.03,3.03
Zona 48,29,1.2,1.3151724137931036,104,3.4770195063618616,1,2,93,5,3,0,29.91,1.35
Zona 5,10,4.125,4.047,73,1.932642079208315,9,5,41,10,8,0,37.77,4.5
Zona 6,8,3.04,3.02,44,1.1310748888432178,2,4,27,6,4,1,38.9,3.5
Zona 7,60,0.42,1.2186666666666668,117,4.8495437771978605,2,12,70,16,16,1,24.13,3.43
Zona 8,18,1.1,2.0116666666666667,74,2.6967834763808227,1,7,44,16,5,1,27.44,2.94
Zona 9,6,2.4850000000000003,3.2133333333333334,30,0.778604439996659,1,4,17,1,7,0,38.53,3.31
Zona Central,1,3.5,3.5,7,0.13732516158599894,0,0,5,1,0,1,50.97,3.5
